CountryName,countrycode,weights,GHG_unit,GHG
Afghanistan,AFG,0.000135666193806,16095049,0.016095049
Albania,ALB,0.000142519831963,13341304,0.013341304
Algeria,DZA,0.002441496460292,158310030,0.15831003
Andorra,AND,4.45621674920959E-05,137880.61,0.00013788061
Angola,AGO,0.00089721435356,49152972,0.049152972
Antigua and Barbuda,ATG,2.24620752752142E-05,370377.88,0.00037037788
Argentina,ARG,0.008020143240339,302309380,0.30230938
Armenia,ARM,0.000115722033043,13082020,0.01308202
Aruba,ABW,4.79915295508083E-05,639965.44,0.00063996544
Australia,AUS,0.018072196991321,491474850,0.49147485
Austria,AUT,0.005916707111447,66219010,0.06621901
Azerbaijan,AZE,0.000472164270952,67439610,0.06743961
"Bahamas, The",BHS,0.000190124026874,1803491.1,0.0018034911
Bahrain,BHR,0.00037556874899,27319436,0.027319436
Bangladesh,BGD,0.00217141636565,141959000,0.141959
Barbados,BRB,9.27110251117525E-05,1260873.4,0.0012608734
Belarus,BLR,0.000644486549182,159433570,0.15943357
Belgium,BEL,0.007122493202712,129387300,0.1293873
Belize,BLZ,2.74681634317557E-05,6115267,0.006115267
Benin,BEN,0.000140863857354,15857552,0.015857552
Bhutan,BTN,2.05837011822628E-05,6973797,0.006973797
Bolivia,BOL,0.000389177776282,74792380,0.07479238
Bosnia and Herzegovina,BIH,0.00018818900617,26417552,0.026417552
Botswana,BWA,0.000177508710096,10876008,0.010876008
Brazil,BRA,0.024881726779901,1625487700,1.6254877
Brunei Darussalam,BRN,0.000232541061156,11629474,0.011629474
Bulgaria,BGR,0.000775334758902,113218856,0.113218856
Burkina Faso,BFA,0.000130738260345,31439214,0.031439214
Burundi,BDI,4.64589697739196E-05,7677510,0.00767751
Cabo Verde,CPV,1.94328526134059E-05,301408.75,0.00030140875
Cambodia,KHM,0.000242012093999,103874440,0.10387444
Cameroon,CMR,0.000405372749545,53162944,0.053162944
Canada,CAN,0.022685670260409,732954300,0.7329543
Central African Republic,CAF,3.29272826357577E-05,21178868,0.021178868
Chad,TCD,0.000102893751837,18162710,0.01816271
Chile,CHL,0.002860848351535,57794340,0.05779434
China,CHN,0.096503051934945,4384561184,4.384561184
Colombia,COL,0.00362078298677,162666720,0.16266672
Comoros,COM,1.34126751731711E-05,553628.9,0.0005536289
"Congo, Dem. Rep.",COD,0.000504450698918,178605380,0.17860538
"Congo, Rep.",COG,0.000144911942517,18828392,0.018828392
Costa Rica,CRI,0.000679107517836,15054856,0.015054856
Cote d'Ivoire,CIV,0.000616422021692,152138940,0.15213894
Croatia,HRV,0.000773158850633,29791080,0.02979108
Cuba,CUB,0.001100183272266,99360110,0.09936011
Cyprus,CYP,0.000309832711105,3378329,0.003378329
Czechia,CZE,0.002575983370669,200329660,0.20032966
Denmark,DNK,0.004910725890473,70866160,0.07086616
Djibouti,DJI,1.06645635967202E-05,1207340.1,0.0012073401
Dominica,DMA,8.31969352506707E-06,112826.484,0.000112826484
Dominican Republic,DOM,0.000813663442221,21711880,0.02171188
Ecuador,ECU,0.001189892197293,85531440,0.08553144
"Egypt, Arab Rep.",EGY,0.00403433875893,131551580,0.13155158
El Salvador,SLV,0.000344371545131,9457073,0.009457073
Equatorial Guinea,GNQ,0.000109358861466,1001892.8,0.0010018928
Eritrea,ERI,2.13840640833375E-05,4574526.5,0.0045745265
Estonia,EST,0.000299502859553,42539110,0.04253911
Eswatini,SWZ,5.07802584652273E-05,3437098.5,0.0034370985
Ethiopia,ETH,0.00060502563566,74708050,0.07470805
Fiji,FJI,6.6213960486687E-05,5375280,0.00537528
Finland,FIN,0.003700446180372,79886790,0.07988679
France,FRA,0.03850682016421,522708770,0.52270877
Gabon,GAB,0.000201616425984,14627409,0.014627409
"Gambia, The",GMB,1.9730871183015E-05,1535454.8,0.0015354548
Georgia,GEO,0.000216392941069,20624138,0.020624138
Germany,DEU,0.054749629141798,1205956200,1.2059562
Ghana,GHA,0.00053031457716,24352054,0.024352054
